category;pinyin;word;mean;recordTime;mediaFile
action;Zhège rén kāishǐ chī hànbǎobāo.;这个人开始吃汉堡包。;그 남자는 햄버거를 먹기 시작한다.;5;1-01.mp3
action;Tā mǎi dōngxī.;他买东西。;그는 물건을 삽니다.;5;1-02.mp3
action;Yéyé dǎkāile kòngtiáo.;爷爷打开了空调。;할아버지가 에어컨을 켰다.;5;1-03.mp3
action;Wǒ wèn nánhái zěnme shuìjiào.;我问男孩怎么睡觉。;남자아이가 잠을 자는 방법을 물어봤다.;5;1-04.mp3
direction;Wǒ zài nǎlǐ kěyǐ qù hǎi yún tái?;我在哪里可以去海云台？;어디로 가야 해운대를 갈수 있습니까?;5;2-01.mp3
direction;Rénmen bìxū yǔ fāngxiàng gòngtóng shēnghuó!;人们必须与方向共同生活！;사람이 방향성을 가지고 살아야 한다!;5;2-02.mp3
direction;Nín zài nǎlǐ tíngle chē?;您在哪里停了车？;자동차를 어디에 주차해 놨나요?;5;2-03.mp3
direction;Nín zhīdào chōushuǐmǎtǒng shí huì zhuǎnxiàng nǎge fāngxiàng?;您知道抽水马桶时会转向哪个方向？;변기 물을 내리면 어느 방향으로 도는지 알고 있니?;5;2-04.mp3
location;Yuènán zài nǎlǐ?;越南在哪里？;베트남은 어디에 있나요?;5;3-01.mp3
location;Shīzǐzuò zài nǎlǐ?;狮子座在哪里？;사자자리는 어디에 위치해 있나요?;5;3-02.mp3
